dataset,flag,n,denominator,percent
all_notices,po_text_article,18988,70016,27.1195
all_notices,po_references_attribution,15680,70016,22.3949
all_notices,po_results_conclusions,27948,70016,39.9166
all_notices,po_image,11973,70016,17.1004
all_notices,po_data,27174,70016,38.8111
all_notices,po_availability_notice_status,23662,70016,33.7951
all_notices,po_article_general,47997,70016,68.5515
all_notices,po_legal_rights,43,70016,0.0614
all_notices,po_authorship_affiliation,4065,70016,5.8058
all_notices,po_ethics_welfare,3084,70016,4.4047
all_notices,po_methods_materials,11754,70016,16.7876
all_notices,gov_peer_review_compromised,11679,70016,16.6805
all_notices,gov_peer_review_concern,11343,70016,16.2006
all_notices,gov_journal_publisher_investigation,36421,70016,52.0181
all_notices,third_party_investigation,20157,70016,28.7891
all_notices,institutional_investigation,5543,70016,7.9168
all_notices,official_misconduct_process,2213,70016,3.1607
all_notices,gov_journal_publisher_error,4262,70016,6.0872
all_notices,gov_notice_opacity,37978,70016,54.2419
all_notices,gov_removal_availability,6599,70016,9.425
all_notices,gov_editorial_breach_strict,3892,70016,5.5587
all_notices,gov_paper_mill,11812,70016,16.8704
all_notices,gov_ai_computer_content,9122,70016,13.0285
all_notices,gov_publication_policy_or_sanction,6771,70016,9.6706
all_notices,gov_correction_update_process,3383,70016,4.8318
all_notices,gov_legal_process,1292,70016,1.8453
all_notices,gov_authorship_publication_process,4155,70016,5.9344
all_notices,gov_research_ethics_approval_process,3718,70016,5.3102
all_notices,gov_content_reuse_or_duplication_process,31008,70016,44.287
all_notices,act_third_party,22109,70016,31.5771
all_notices,act_unclear,46327,70016,66.1663
all_notices,act_author,38243,70016,54.6204
all_notices,act_journal_publisher,53653,70016,76.6296
all_notices,act_editor,6296,70016,8.9922
all_notices,act_ori_government,2200,70016,3.1421
all_notices,act_company_institution,6067,70016,8.6652
all_notices,cat_research_content_reliability,46058,70016,65.7821
all_notices,cat_attribution_authorship_disclosure_integrity,36054,70016,51.4939
all_notices,cat_editorial_peer_review_governance,27254,70016,38.9254
all_notices,cat_post_publication_transparency_due_process_oversight,55476,70016,79.2333
all_notices,maincat_research_content_reliability,46058,70016,65.7821
all_notices,maincat_attribution_authorship_disclosure_integrity,36054,70016,51.4939
all_notices,maincat_editorial_peer_review_governance,26805,70016,38.2841
all_notices,maincat_post_publication_transparency_due_process_oversight,39157,70016,55.9258
retractions_only_all_years,po_text_article,18281,64807,28.2084
retractions_only_all_years,po_references_attribution,15377,64807,23.7274
